tweet,date,weekStarting
Welcome to the fam. 2016 #ladyofSG @malaysiapargo stole the spotlight @vainorlando. Calendars in select stores now.,2015-11-24,2015-11-22
More festive than other spirits. #seagramsgin #adifferentspirit,2015-11-25,2015-11-22
For every kind of family. #adifferentspirit #thanksgiving,2015-11-26,2015-11-22
A different way to spend #BlackFriday. #adifferentspirit,2015-11-27,2015-11-22
Redemp-gin never tasted so good. #seagramsgin #adifferentspirit,2015-11-30,2015-11-29
Get into the spirit of the season. #seagramsgin #adifferentspirit,2015-12-01,2015-11-29
"Attitude is everything. December's Lady of SG Brittany Carr (Columbia, SC) is fierce. #seagramsgin",2015-12-02,2015-11-29
No post-prohibition inhibitions. #seagramsgin #adifferentspirit,2015-12-05,2015-11-29
Honor the journey. #seagramsgin #adifferentspirit,2015-12-07,2015-12-06
Admire those who go against the grain. #seagramsgin #adifferentspirit,2015-12-10,2015-12-06
"For successful holiday celebration, just add Seagram’s Extra Dry Gin. #adifferentspirit #holidays",2015-12-14,2015-12-13
#wednesdaywisdom We don’t take ourselves too seriously. #adifferentspirit,2015-12-16,2015-12-13
"#In2004, we were America's number one gin. In 2015, we are still leading the pack. #adifferentspirit",2015-12-16,2015-12-13
What’s your secret to holiday survival? #adifferentspirit,2015-12-17,2015-12-13
Another way to warm up. #adifferentspirit,2015-12-22,2015-12-20
You are where you need to be. #seagramsgin #adifferentspirit,2015-12-25,2015-12-20
A winter escape without the flight. #seagramsgin #adifferentspirit,2015-12-28,2015-12-27
Some moments were meant to last forever. #seagramsgin #adifferentspirit,2015-12-31,2015-12-27
New ambitions. #seagramsgin #adifferentspirit,2016-01-01,2015-12-27
Don’t question our standards or our award-winning flavor. #adifferentspirit,2016-01-21,2016-01-17
Ready for you #Sundance. Help us celebrate 10 yrs of @the_blackhouse +30 multi-cultural films. Full details @Variety,2016-01-22,2016-01-17
Work so hard that one day your signature will be called an autograph. #heardinthehustle,2016-01-22,2016-01-17
"You don’t hustle, you don’t eat. #stayhungry #heardinthehustle",2016-01-25,2016-01-24
@DkjDan We like your style.,2016-01-25,2016-01-24
@BdbBuk Great taste. Something we both have in common.,2016-01-27,2016-01-24
Earn your throne. Build your empire. #heardinthehustle,2016-01-27,2016-01-24
@Trap0utDaBrand0 Have fun. And remember to #drinkresponsibly.,2016-02-01,2016-01-31
Let your work leave an aftertaste that’s too good to forget. #heardinthehustle,2016-02-02,2016-01-31
@Kia_YourSeLF You're in good company.,2016-02-03,2016-01-31
@xshanefaex Great taste. Something we both have in common.,2016-02-09,2016-02-07
@alfredomoya1997 If your night doesn't start with Seagram's Gin you might be doing it wrong.,2016-02-09,2016-02-07
