tweet,date,weekStarting
"A toast to ambitious adventures in life and in space. Cheers, #Curiosity!",2012-08-06,2012-08-05
How to mix up your Tuesday? #music and a #Smirnoffcocktail,2012-08-07,2012-08-05
Drinking Smirnoff at home beats being out at a bar any day of the week. #EspeciallyonTuesdays,2012-08-07,2012-08-05
Is it #happyhour yet? RT if you want a Smirnoff Raspberry Cosmopolitan tonight.,2012-08-08,2012-08-05
Only one hour ‘til the only hour…who’s spending it with a #SmirnoffSplash? #happyhour,2012-08-09,2012-08-05
Here's your #HumpDayTreat. #YoureWelcome,2012-08-09,2012-08-05
"Life is like a #Smirnoff Chocolate Martini, except you know exactly what you're going to get #happyhour",2012-08-10,2012-08-05
WAKE UP! Shaking drinks wakes the ingredients so #shakehard #drinktips,2012-08-10,2012-08-05
Oh Mondays… When will you disappear? #justsayin,2012-08-13,2012-08-12
RT @masterofthemix: Check out the #MasterOfTheMix @YouTube Channel to learn how to make @SmirnoffUS cocktails:,2012-08-13,2012-08-12
#QuestionForBoys: True or False: The guy should always buy the girl a drink. #polls,2012-08-13,2012-08-12
Shark Week + @SmirnoffUS vodka on the rocks = A bite out of your night. #21rocks,2012-08-13,2012-08-12
#SheLeftYouBecause you didn't buy her a Smirnoff vodka drink. #happyhour,2012-08-14,2012-08-12
"#excellentwords ""Here, I bought you a drink.""",2012-08-14,2012-08-12
"#excellentwords ""This one's on me""",2012-08-14,2012-08-12
#its2012 and the world hasn’t ended. Who’s toasting to that?,2012-08-16,2012-08-12
We love weekdays! #TheLieDetectorDeterminedThatWasALie,2012-08-21,2012-08-19
#ThingsINeverGetTiredOfSeeing Friday,2012-08-23,2012-08-19
When life hands you lemons… make a Smirnoff Lemon Drop Martini at Happy Hour!,2012-08-23,2012-08-19
Ready for Labor Day? Greet your guests with a firm handshake… and a stiff drink. #bbq #laborday,2012-08-27,2012-08-26
Serve the perfect #BBQ drink: Try a “Take One” sign.  #LaborDay,2012-08-29,2012-08-26
#100ThingsILike Happy Hour!,2012-08-30,2012-08-26
Never juggle too many duties at once. That’s how drinks get spilled. #partyfoul #LaborDay,2012-08-30,2012-08-26
Summer in the city. #Smirnoff #nyc #newyork #skyline #vodka #goodtimes #Friday #instamood,2012-08-31,2012-08-26
#Summer2012Memories laying out by the beach with a Smirnoff Ice in hand.,2012-09-04,2012-09-02
Yum!  RT @ElenaBerezovsky Amazing @SmirnoffUS cocktails courtesy of @stephonidis #LDW #doAC,2012-09-04,2012-09-02
Everything is better with chocolate! RT @DesignsByLolita It still feels like Monday- which makes me want a #Martini ;),2012-09-04,2012-09-02
Just freeze and squeeze! #frozenfavorites,2012-09-05,2012-09-02
RT @masterofthemix: RT if you plan on sipping on a @SmirnoffUS drink after you leave work today.,2012-09-05,2012-09-02
Cheers to #NYFW! RT if you're raising your glass with #Smirnoff!,2012-09-06,2012-09-02
If only the #iPhone5 could pour #Smirnoff drinks...,2012-09-12,2012-09-09
#Sillynames for drinks: Like-a-tini. Yay or nay?,2012-09-13,2012-09-09
And the newest @SmirnoffUS flavored vodkas are… #IcedCake and #KissedCaramel. RT with the flavor you want.,2012-09-15,2012-09-09
"Arg Matey! On Talk Like A Pirate Day, try a Red Beard: #CaptainMorgan Spiced Rum, #Smirnoff Cherry Vodka &amp; cola",2012-09-19,2012-09-16
"#ThingsISayAlot ""Is it 5pm yet?"" #Happyhour",2012-09-24,2012-09-23
Every #happymonday ends with a #happyhour. RT if you agree!,2012-09-24,2012-09-23
If only this was true about the replacement refs from last night’s game…,2012-09-25,2012-09-23
A true classic...Glad you like it! RT @ipuketheglitter: @SmirnoffUS I tried #kissedcaramel it tastes just like a werthers original #omg,2012-09-25,2012-09-23
#ImHappiestWhen I have something sweet to look forward to at the end of the day.,2012-09-26,2012-09-23
A classic never goes out of style. #ThrowBackThursday,2012-09-27,2012-09-23
#TGIF or better yet... #TGIHH (Thank God It's Happy Hour),2012-09-28,2012-09-23
"We toast to you, October. #HappyOctober",2012-10-01,2012-09-30
“I’ve got this round.” #ThingsYouSayToYourBestFriend,2012-10-01,2012-09-30
#HowToMakeMeMad: order a rum and cola.,2012-10-02,2012-09-30
#WhatsWorseThan forgetting the ice? Forgetting the Smirnoff.,2012-10-04,2012-09-30
RT if you’re celebrating #NationalVodkaDay with the new Smirnoff Iced Cake and Kissed Caramel flavored vodkas!,2012-10-05,2012-09-30
"The cool, crisp air calls for one thing…",2012-10-08,2012-10-07
"Here’s a toast to Mila Kunis, the #SexiestWomanAlive…what a looker.",2012-10-08,2012-10-07
#MyWorstFear is coming home to an empty fridge… RT if you’re stocked up on #Smirnoff!,2012-10-10,2012-10-07
What's the best #concert you’ve ever been to?,2012-10-11,2012-10-07
"RT if you're going ""apple picking"" this weekend!",2012-10-12,2012-10-07
Now you can bake your cake...and drink it too!,2012-10-12,2012-10-07
#GirlsLikeItWhenYou order them a drink before they even ask for it.,2012-10-15,2012-10-14
#IDontHaveTimeFor your excuses for missing #HappyHour.,2012-10-16,2012-10-14
"@ElissaJoan How about a #KissedCreamyCaramel? Mix 1.5oz #KissedCaramel + .5oz butterscotch liquor in ice-filled shaker. Shake, pour, enjoy!",2012-10-18,2012-10-14
"Who's ready for the weekend? Try mixing up our newest fan-created recipe, a #KissedCaramel Chocolate Cake Shot! #TGIF",2012-10-19,2012-10-14
What’s your #BloodyMary style?,2012-10-20,2012-10-14
"Whether your team is winning…or losing, break out the ice. #GameDay",2012-10-21,2012-10-21
Not picking a bar that serves Smirnoff...on the first date. #MistakesBoysMake,2012-10-22,2012-10-21
#iPads aren't the only things that come in mini...,2012-10-23,2012-10-21
Yum! Have you tried this #KissedCaramel Cocktail? RT @CreativCulinary: Thanks @smirnoffus -  we all LOVE this cocktail!,2012-10-23,2012-10-21
#10ReasonsWhyYouCantSleep You can’t decide which #Halloween party to go to (HINT: the one with #Smirnoff).,2012-10-25,2012-10-21
Forget the buns...you need a toast! #KissedCaramel #drinkrecipe,2012-10-25,2012-10-21
Best served chilled...to the bone. #Halloween,2012-10-26,2012-10-21
@TheNummyList Yum! Which flavor did you like best - #IcedCake or #KissedCaramel?,2012-10-26,2012-10-21
The scariest thing on #Halloween? A drunk driver.,2012-10-27,2012-10-21
Does the absence of a heart make you grow fonder…of #Smirnoff?,2012-10-28,2012-10-28
"#BeSafe, East Coast. #Sandy",2012-10-29,2012-10-28
The latest #IcedCake #drinkrecipe - Coconut Cream Pie! RT @TheNummyList: @SmirnoffUS i tried the #icecakevodka!,2012-11-01,2012-10-28
@TheNummyList Yum! Did it taste as good as it looks? #IcedCake #drinkrecipe,2012-11-01,2012-10-28
#7FactsAboutMyBestFriend - the only person who knows what to order you before you even get to the bar.,2012-11-02,2012-10-28
"Eat, drink #Smirnoff, and be merry! #itstheweekend",2012-11-03,2012-10-28
It's #Saturday night! What's your go-to #party soundtrack?,2012-11-03,2012-10-28
Your nights just got a little bit darker…#DaylightSavings,2012-11-03,2012-10-28
"Join @SandraLee TODAY @ 10AM EST as she whips up another iconic meal and a signature #Smirnoff drink to match, only on @FoodNetwork!",2012-11-04,2012-11-04
There's nothing better than a #SundayFunday - who's toasting with #Smirnoff?,2012-11-04,2012-11-04
"#ElectionDay Toast: combine #IcedCake #SmirnoffAnd lemonade, amaretto &amp; strawberries – it’s a guaranteed winner.",2012-11-05,2012-11-04
Who’s ready for 5PM? Check out the latest #Smirnoff drink from @SandraLee &amp; @FoodNetwork then try mixing one up tnte:,2012-11-06,2012-11-04
Red or blue? Which @SmirnoffUS drink are you toasting with tonight? #ElectionDay #GoVote #HappyElectionDay,2012-11-06,2012-11-04
Ready to make @SmirnoffUS history? #ElectionDay2012,2012-11-06,2012-11-04
"Break up your week by breaking out the #Smirnoff – combine cinnamon, #KissedCaramel #SmirnoffAnd warm cider",2012-11-07,2012-11-04
You kept ordering her gin and tonics. #WhyRelationshipsEnd,2012-11-08,2012-11-04
We're heading on a #SweetTemptationTour &amp; starting w/ the city that never sleeps - taste the #IcedCake flavors of NYC:,2012-11-09,2012-11-04
"23 #Bond movies, 9 #JamesBond characters, 1 classic martini – here’s to being the original.",2012-11-09,2012-11-04
Grab your sunblock because these photos are HOT! Can you guess where we’re headed next on the #SweetTemptationTour?,2012-11-10,2012-11-04
Adding spice to your #BloodyMary has never been easier - freeze water &amp; Thyme to add some zip to your drink:,2012-11-10,2012-11-04
"Grab a cab &amp; head downtown, #KissedCaramel is heading to 'Little Italy' - learn how to make the #NYC-inspired drink:",2012-11-10,2012-11-04
Summer isn’t over ‘til you make a #Smirnoff Watermelon Daiquiri – @SandraLee &amp; @CookingChannel show u how to mix 1 up:,2012-11-10,2012-11-04
"Your night, your flavor - #WhatsYourMood? Get an exclusive look at the latest from #IcedCake &amp; #KissedCaramel here:",2012-11-10,2012-11-04
Cheers to a win today. #GameDay #SmirnoffIce,2012-11-11,2012-11-11
Your #GameTime decision just got a whole lot easier. #BloodyMary #GameDay,2012-11-11,2012-11-11
"If you were listening to your weekend playlist right now, what would be the first track? #musicmonday #nowplaying",2012-11-12,2012-11-11
We’d recommend you chai this tonight. #DrinkRecipes,2012-11-13,2012-11-11
#whenidrink I always mix up #SmirnoffAnd ______.,2012-11-14,2012-11-11
"Citrus #SmirnoffAnd cranberry - shake, pour, enjoy. #DrinkRecipe",2012-11-15,2012-11-11
What's your #Friday night playlist? #30SongsOnShuffle,2012-11-16,2012-11-11
The party doesn’t stop just because the music does – venue change! #WhatsYourMood #IcedCake #KissedCaramel,2012-11-16,2012-11-11
Drop everything…it’s Friday. #VodkaFriday #DrinkRecipe,2012-11-16,2012-11-11
"Going to a party alone: weird, or totally awesome? #NightsOut",2012-11-17,2012-11-11
Celery stalk or pickle spear - how do you like to stir your #BloodyMary?,2012-11-17,2012-11-11
