eventdate,ActionGeo_FullName,tone,ActionGeo_Lat,ActionGeo_Long
2014-08-06,"Rockwell City, Iowa, United States",2.090032154340835,42.3953,-94.6339
2014-08-06,"Johnson County, Iowa, United States",0.18507528913865368,41.6667,-91.5335
2014-08-06,"Union County, Iowa, United States",1.653696498054475,41.0333,-94.2508
2014-08-06,"Sac City, Iowa, United States",1.0687022900763359,42.4222,-94.9897
2014-08-06,"Howard County, Iowa, United States",1.092117758784425,43.35,-92.3168
2014-08-06,"Dubuque County, Iowa, United States",0.16965324798984346,42.4833,-90.8668
2014-08-06,"Creston, Iowa, United States",1.653696498054475,41.0586,-94.3614
2014-08-06,"Clinton Police Department, Iowa, United States",0.141643059490085,41.8398,-90.1871
2014-08-06,"Jasper County Sheriffs Office, Iowa, United States",0.22075055187638,41.7,-93.0544
2014-08-06,"Urbana, Iowa, United States",2.68065268065268,42.2242,-91.8743
2014-08-06,"Ottumwa, Iowa, United States",0.6631621256666982,41.02,-92.4113
2014-08-06,"Oakdale, Iowa, United States",0.8422018634983136,41.7064,-91.603
2014-08-06,"Orange City, Iowa, United States",0.6794055201698506,43.0072,-96.0583
2014-08-06,"Sheffield Public Library, Iowa, United States",0.7272727272727275,42.893,-93.2141
2014-08-06,"Riceville, Iowa, United States",1.092117758784425,43.3639,-92.5541
2014-08-06,"Cedar Valley, Iowa, United States",4.88888888888889,41.7264,-91.2466
2014-08-06,"Fort Dodge, Iowa, United States",0.3270975432438948,42.4975,-94.168
2014-08-06,"Boone County, Iowa, United States",-0.030057108506161667,42.0333,-93.9336
2014-08-06,"Okoboji, Iowa, United States",0.23932649845772144,43.3864,-95.1483
2014-08-06,"Jefferson County, Iowa, United States",1.7156862745097998,41.0334,-91.9502
2014-08-06,"Leeds Park, Iowa, United States",3.87596899224806,42.5406,-96.362
2014-08-06,"Urbandale, Iowa, United States",1.13417951542863,41.6267,-93.7122
2014-08-06,"Janesville, Iowa, United States",0.11721214654955023,42.6461,-92.463
2014-08-06,"Marshall County, Iowa, United States",0.94722598105548,42.0333,-93.0008
2014-08-06,"Agape Christian Family Church, Iowa, United States",1.52905198776758,43.1377,-93.4238
2014-08-06,"Rock Valley, Iowa, United States",2.69205515430072,43.2053,-96.295
2014-08-06,"Fort Madison Police Department, Iowa, United States",0.0,40.6328,-91.3121
2014-08-06,"Clinton County, Iowa, United States",0.1812678156963455,41.8834,-90.5501
2014-08-06,"Storm Lake, Iowa, United States",0.5154639175257725,42.6411,-95.2097
2014-08-06,"Pella Public Library, Iowa, United States",0.9696969696969701,41.4044,-92.9169
2014-08-06,"Summit Farms, Iowa, United States",0.7589285714285725,43.4561,-96.3278
2014-08-06,"Red Oak, Iowa, United States",1.063829787234045,41.0097,-95.2255
2014-08-06,"Eddyville, Iowa, United States",3.59712230215827,41.1565,-92.6374
2014-08-06,"Polk County, Iowa, United States",1.113861386138615,41.6833,-93.5835
2014-08-06,"Midvale, Iowa, United States",2.32067510548523,41.9294,-93.6102
2014-08-06,"Cedar Rapids, Iowa, United States",0.2338786423550449,42.0083,-91.6441
2014-08-06,"Northeast Iowa Community College, Iowa, United States",1.4438166980539868,43.1753,-91.8665
2014-08-06,"Scott County, Iowa, United States",0.1445351705520424,41.6334,-90.6335
2014-08-06,"Des Moines, Iowa, United States",0.05330603520267958,41.6005,-93.6091
