week,city,Sum_LitersPerCapita,Sum_salesPerCapita,Avg_tone,First_geo
2012-01-01,AMES,6.92079618813403e-002,0.965088533661236,1.55968565451461,"42.0347,-93.6199"
2012-01-01,ANKENY,7.5155027834543e-002,0.937829610316398,1.58263666859462,"41.6833,-93.5835"
2012-01-01,BRITT,5.93005575266092e-002,0.42567663456665,0,"43.1686,-93.7244"
2012-01-01,CENTERVILLE,0.167358525688757,2.00308451228593,1.41987829614605,"40.7686,-93.0019"
2012-01-01,COUNCIL BLUFFS,0.277534067127818,4.13015256322188,0.96145921979973,"41.2619,-95.8608"
2012-01-01,DES MOINES,0.226779346740836,3.46870879094756,6.25176521940072,"41.6014,-93.6519"
2012-01-01,DUBUQUE,0.154409088589942,2.12391656320686,0.456191148814485,"42.5006,-90.6646"
2012-01-01,FAIRFIELD,8.51142337242216e-002,1.22028912252325,0.766283524904213,"40.9881,-91.9696"
2012-01-01,FORT MADISON,0.130164691611458,1.73673695997014,0.330429414188384,"40.6298,-91.3151"
2012-01-01,HIAWATHA,3.27441311293235e-002,0.448687317683012,2.17955626502647,"42.0358,-91.6821"
2012-01-01,IOWA CITY,0.131921988682296,2.01870008084074,2.40399593095337,"41.6617,-91.5363"
2012-01-01,MARSHALLTOWN,0.103722845763939,1.39111839246923,2.01660735468565,"42.0494,-92.90799999999999"
2012-01-01,MOUNT VERNON,9.50289790459206e-002,1.32468123049487,8.86899918633035,"41.9258,-91.4254"
2012-01-01,NEWTON,0.125609917355372,1.68799801652893,6.48072190319934,"41.6833,-93.0502"
2012-01-01,OSKALOOSA,0.308413026621866,3.92683122253812,2.92632268622442,"41.2964,-92.6444"
2012-01-01,OTTUMWA,0.124900503573749,1.83413011695906,3.2258064516129,"41.0611,-92.4213"
2012-01-01,PELLA,7.09712438483065e-002,1.04599922802277,2.3838630806846,"41.4081,-92.9163"
2012-01-01,RIVERSIDE,0.333014354066986,5.44478468899521,2.13030020821878,"41.4831,-91.706"
2012-01-01,SIOUX CITY,5.09937093249297e-002,0.603093418335929,2.70261937473014,"42.5,-96.4003"
2012-01-01,URBANDALE,3.68282193273115e-002,0.497034633017112,0.1686898620687,"41.6267,-93.7122"
2012-01-01,WASHINGTON,0.20766401187905,3.10345977321814,1.5625,"41.2146,-91.5373"
2012-01-01,WATERLOO,5.92608822670172e-003,9.54250657318142e-002,0.447106450418527,"42.4928,-92.34299999999999"
2012-01-01,WEST BRANCH,4.68549422336329e-002,0.50816431322208,3.27455919395466,"41.7264,-91.2466"
2012-01-01,WEST DES MOINES,0.213930092180993,3.33927783756804,2.1069860577682,"41.5797,-93.7122"
2012-01-08,CEDAR FALLS,0.135816870682342,1.8261963398376,7.96812749003984,"42.5278,-92.4455"
2012-01-08,CEDAR RAPIDS,0.30264982170929,3.73790866914612,1.83327290613289,"42.0083,-91.6441"
2012-01-08,CLARINDA,9.96954595791805e-002,1.40120524178664,4.72972972972973,"40.7419,-95.0383"
2012-01-08,GOWRIE,7.44494494494495e-002,0.695645645645646,4.41176470588235,"42.2805,-94.2908"
2012-01-08,IOWA CITY,0.140995688493667,2.11109781729992,4.80228815255687,"41.6692,-91.5379"
2012-01-08,MUSCATINE,9.41985146862483e-002,1.24615111815754,1.64700264851025,"41.4245,-91.0432"
2012-01-08,NORTHWOOD,0.126190476190476,1.35303759398496,3.37078651685393,"43.4441,-93.221"
2012-01-08,OSCEOLA,0.133598149637973,1.76308930008045,5.07462686567164,"41.0339,-93.7655"
2012-01-08,OSKALOOSA,0.224954768674076,2.83225122770742,2.3367588162921,"41.2958,-92.656"
2012-01-08,PANORA,5.94470046082949e-002,0.729815668202765,0.622981079833872,"41.7767,-94.35799999999999"
2012-01-08,SIOUX RAPIDS,0.114382239382239,1.07773487773488,5.67913686332022,"43.0166,-95.1461"
2012-01-08,TOLEDO,0.187068574023615,2.1772570390554,1.86666666666667,"41.9667,-92.5769"
2012-01-08,WAPELLO,7.62126408623224e-002,0.926065654091132,5.15463917525773,"41.1814,-91.1854"
2012-01-08,WASHINGTON,0.157586393088553,2.29655372570194,1.26811594202899,"41.3334,-91.7168"
2012-01-08,WEST UNION,0.188760896637609,2.30167289331673,7.44186046511628,"42.9386,-91.9502"
2012-01-15,ANKENY,5.45006518215771e-002,0.672408216475231,2.10526315789473,"41.7297,-93.6058"
2012-01-15,BETTENDORF,0.159352203914942,2.40763807914378,0.44713161912128,"41.5245,-90.5157"
2012-01-15,CEDAR RAPIDS,0.470690924427744,6.00700394923508,0.824005715590195,"41.97,-91.6785"
2012-01-15,DES MOINES,0.14638712974849,2.16661018399658,0.794725882578654,"41.6005,-93.6091"
2012-01-15,DUBUQUE,0.28386367115087,3.67829588938587,1.42619572245738,"42.5006,-90.6646"
2012-01-15,EDDYVILLE,9.70849802371541e-002,1.34448616600791,1.07205185739217,"41.2125,-92.4355"
2012-01-15,FORT DODGE,0.133784332021583,1.71411943689399,0.724013923714186,"42.4975,-94.16799999999999"
2012-01-15,HIAWATHA,5.98416446728712e-002,0.769023475482706,3.40560278993603,"42.0358,-91.6821"
2012-01-15,LAMONI,2.39583333333333e-002,0.23770202020202,0.137923199083191,"40.6228,-93.9341"
2012-01-15,MARENGO,0.140966971746916,1.31150815758058,1.77581841047074,"41.9094,-92.0844"
2012-01-15,MARSHALLTOWN,0.1476339608979,1.64633454018827,3.1986531986532,"42.0494,-92.90799999999999"
2012-01-15,MASON CITY,0.535167726375795,6.70906380179785,0.399319242429252,"43.1536,-93.20100000000001"
