item,sum_sale_liters,sum_sale_dollars
CAZADORES REPOSADO,12212.25,428688.17
CAPTAIN MORGAN SPICED 1.75L W CM WHITE 200ML,12210.9,166940.21
POWERS IRISH WHISKEY,12098.0,264224.33
CABO WABO REPOSADO,12050.25,494282.78
PHILLIPS BLACKBERRY FLAV BRANDY,12018.0,113077.09
RUMPLE MINZE PEPPERMINT,12008.0,486324.0
MT. GAY ECLIPSE RUM,12002.25,224115.82
WILD TURKEY 81,11868.75,258869.7
SMIRNOFF WATERMELON,11808.75,194923.1
CRUZAN RASPBERRY RUM,11775.0,157302.53
CIROC SUPER PREMIUM VODKA,11726.5,419827.25
ELIJAH CRAIG,11692.5,334608.64
BURNETT'S FRUIT PUNCH,11676.0,104774.37
JAGERMEISTER W 2 SHOT GLASSES,11666.25,281090.16
FIREFLY SWEET TEA VODKA,11648.25,218489.07
ST. GERMAIN,11630.25,457704.43000000005
OPULENT VODKA,11615.25,225057.85
DON Q CRISTAL RUM,11594.0,146921.89
ST. CHARLES BRANDY,11531.5,102944.06
CAFFE LOLITA COFFEE LIQUEUR,11478.75,114787.5
JACK DANIELS SINGLE BARREL WHY.,11476.5,598557.78
SHELLBACK SPICED,11336.75,167330.73
FAMOUS GROUSE SCOTCH,11303.25,273341.65
E & J XO BRANDY,11270.25,180272.59
BAILEY'S IRISH CREAM W 2 GLASSES,11262.0,294768.24
TANQUERAY RANGPUR GIN,11253.0,282074.3
ABSOLUT W 50ML CITRON & MANDRIN,11231.05,227792.12
BALVENIE 12YR DOUBLEWOOD SINGLE MALT SCOTCH,11162.25,748014.97
ARROW MCDALE'S BUTTERSCOTCH SCHNAPPS,11160.0,92865.86
CHILA COFFEE LIQUEUR,11097.75,110484.72
BACARDI CLASSIC COCKTAILS STRAWBERRY DAIQUIRI,11070.5,91847.5
SMIRNOFF SILVER VODKA 90,11034.75,174404.96
SOUTHERN COMFORT BOLD BLACK CHERRY,10970.75,209037.72
EVAN WILLIAMS EGG NOG,10899.0,97213.68
MALIBU RED,10866.948,188365.28
BARTON LONG ISLAND ICED TEA,10834.0,67899.44
GEORGE DICKEL #12,10803.0,279062.64
DON JULIO BLANCO TEQUILA,10797.0,567253.1
JAGERMEISTER SPICE,10763.25,259466.08
X RATED FUSION LIQUEUR,10714.5,305359.34
COURVOISIER VS COGANC,10685.25,330516.89
CORRALEJO REPOSADO TEQUILA,10640.25,319207.5
SMIRNOFF SORBET LIGHT MANGO PASSION FRUIT,10589.25,174034.65000000002
SMIRNOFF LIME VODKA,10574.25,169070.19
FORTY CREEK,10574.25,247386.04
JIM BEAM BLACK,10534.5,287054.01
JOSE CUERVO TRADICIONAL REPOSADO TEQUILA,10498.5,312470.68
MCCLELLAND HIGHLAND,10450.5,275835.69
SWELL VODKA,10390.25,119761.77
BURNETT'S GRAPE VODKA,10383.75,92905.37
BURNETT'S PINEAPPLE,10383.75,94402.08
UV PINK LEMONADE COCKTAIL,10312.75,55849.21
PHILLIPS LONG ISLAND ICED TEA,10281.0,65084.57
SAUZA CIEN ANOS REPOSADO,10258.5,206662.86000000002
CODY ROAD RYE,10187.25,391811.32
ARROW WILD CHERRY FLAV BRANDY,10142.25,108230.03
KETEL ONE CITROEN,10140.75,276985.03
AVION SILVER,10113.125,473189.66
BASIL HAYDEN 8YR,10065.75,443819.75
WILD TURKEY 101 ROUND,10031.25,241674.7
RICACHA HORCHATA,10023.75,200475.0
BACARDI PEACH RED,10018.5,163690.13
DON JULIO REPOSADO,10000.62,573525.28
DEKUYPER ISLAND PUNCH PUCKER,9851.0,113731.41
WOODFORD RESERVE,9839.75,329304.75
SVEDKA CLEMENTINE VODKA,9787.5,158526.46
JAGERMEISTER W FLASK,9774.0,234312.63
EL MAYOR BLANCO,9726.0,222403.61
TUACA PERFECT CHILL,9690.0,221707.2
BURNETT'S WATERMELON,9687.75,87501.42
PRAIRIE FIRE,9650.25,185058.81
B&B D.O.M.,9636.0,371279.22
SVEDKA MANGO PINEAPPLE,9620.7,160852.08000000002
BACARDI MANGO FUSION,9619.5,157559.66999999998
SEAGRAMS EXTRA SMOOTH,9599.625,115111.8
JAGERMEISTER W SHOT GLASSES,9549.75,230212.64
HOT STUFF,9493.5,135951.94
HERRADURA GOLD REPOSADO 6PAK,9449.25,436862.6
JACK DANIELS WINTER JACK,9438.75,195193.35
PARAMOUNT MELON LIQUEUR,9384.0,97898.07
CAPTAIN MORGAN PARROT BAY MANGO,9356.25,140138.36
OLD SMUGGLER SCOTCH,9354.5,94977.37
EVAN WILLIAMS CHERRY RESERVE,9340.5,143968.14
BAILEY'S VANILLA CINNAMON,9236.25,243012.99000000002
ARROW CREME DE MENTHE GREEN,9223.5,82813.45
LICOR 43,9154.5,251545.93
SMIRNOFF ORANGE,9101.5,137955.76
CHI-CHI'S CHURRO,9091.25,49211.75
SMIRNOFF GRAPE VODKA,9084.0,146297.79
BURNETT'S LIMEADE VODKA,9075.75,81571.72
HENNESSY VS COGNAC ML,9036.0,429263.27
PARAMOUNT BUTTERSCOTCH SCHNAPPS,9036.0,75260.87
SMIRNOFF SOURS WATERMELON,8997.75,148639.48
DEKUYPER CHERRY PUCKER SCHNAPPS,8972.25,111335.35
HORNITOS PLATA,8955.0,240967.95
PINNACLE CAKE VODKA,8954.25,134437.85
CRUZAN STRAWBERRY RUM,8941.5,119780.66
SEAGRAMS SEVEN CROWN STONE CHERRY,8895.0,145446.2
IOWISH CREAM LIQUEUR,8877.75,180632.62
PAUL MASSON VS BRANDY,8872.8,137368.32
SMIRNOFF 1.75L W SMIRNOFF RASPBERRY 200ML,8868.6,100647.24
SMIRNOFF CHERRY VODKA,8849.25,141695.92
MIDNIGHT MOON BLUEBERRY,8787.375,188449.83
SKINNYGIRL PINA COLADA,8742.75,130067.83
SVEDKA CITRON VODKA,8740.5,140960.4
RUMCHATA SHAKER GIFT SET,8707.5,217687.5
STOCK 84 BRANDY,8703.75,105489.45
JACK DANIELS BLACK LABEL,8687.6,209618.95
UV PEACH,8601.25,116012.03
PATRON ANEJO,8528.625,527775.73
CHOPIN VODKA,8505.0,269078.87
CHI-CHI'S ORANGE CREAM,8428.0,45476.0
MCMASTER'S CANADIAN,8375.5,64245.86
CHRISTIAN BROS GRAND RESERVE VSOP,8358.75,111901.81
CIROC COCONUT,8322.5,307492.12
SMIRNOFF CRANBERRY VODKA,8317.5,133158.34
RIVER BARON ARTISIAN SPIRIT,8271.75,231939.87
BURNETT'S BLUE RASPBERRY VODKA,8219.85,74509.56999999999
PEARL POMEGRANATE VODKA,8181.75,126286.89
CAPTAIN MORGAN PARROT BAY STRAWBERRY,8130.75,121852.84
PAUL MASSON VSOP GRANDE AMBER BRANDY,8120.25,107187.3
BACARDI RAZZ,8108.75,129022.82
ROMANA BLACK SAMBUCA,8026.5,211151.44
GODIVA WHITE CHOCOLATE LIQUEUR,8022.0,271854.52
SVEDKA RASPBERRY VODKA,8004.0,129866.53
PARAMOUNT CREME DE MENTHE WHITE,7978.5,74345.12
SKYY INFUSIONS CITRUS,7959.75,156843.25
CAPTAIN MORGAN PARROT BAY KEY LIME,7921.5,118651.54
NEW AMSTERDAM COCONUT,7898.0,109169.93
THREE OLIVES POMEGRANATE VODKA,7854.75,166852.78
CLEARHEART VODKA,7819.5,192359.7
PATRON XO CAFE,7798.725,226582.06
EFFEN CUCUMBER,7759.5,212785.06
BIRD DOG PEACH FLAVORED WHISKEY,7746.75,152517.0
MARGARITAVILLE SKINNY ISLAND PUNCH,7740.25,44263.79
MCCLELLAND ISLAY,7683.75,198882.74
GRANT'S BLENDED SCOTCH,7677.75,161215.59
RICURA,7648.5,149423.4
GLENMORANGIE 10 YR SINGLE MALT SCOTCH,7605.75,333886.94
EFFEN BLACK CHERRY VODKA,7599.0,209415.02
HENNESSY VSOP PRIVILEGE,7512.975,462545.72
BOODLES BRITISH GIN LONDON DRY,7491.75,163102.1
SMIRNOFF BLUEBERRY VODKA,7471.5,119627.87
MALIBU RUM PUNCH COCKTAIL IN A BAG,7453.25,52727.76
MC GREGOR'S SCOTCH,7437.5,65808.54
REVEL STOKE ROASTED PECAN,7425.0,111602.88
E & J CASK & CREAM,7407.0,78258.05
JESSE JAMES BOURBON,7369.95,140717.88
RUMCHATA ICED COFFEE PACK,7369.5,184237.5
HOWDYS APPLE PIE,7360.5,130864.99
LAPHROAIG 10 YR SINGLE MALT SCOTCH,7357.5,371481.9
JEREMIAH WEED PEACH SWEET TEA,7336.5,141674.74
CAPTAIN MORGAN PARROT BAY PASSION FRUIT,7332.0,109818.28
YUKON JACK JACAPPLE,7326.75,131261.13
BURNETT'S MANGO PINEAPPLE,7278.5,66660.02
DEKUYPER MIXED BERRY MEDLEY,7258.0,82176.79
PRESIDENTE GRAPE BRANDY (PEDRO DOMECQ),7257.0,116447.24
TIPPY COW SHAMROCK MINT,7219.5,145966.35
GREY GOOSE CHERRY NOIR,7217.625,260974.48
CAPTAIN MORGAN 1671,7209.0,144980.76
THREE OLIVES BERRY VODKA,7188.75,152276.34
CIROC RED BERRY VODKA,7179.0,263121.76
TRAVIS HASSE APPLE PIE LIQUEUR,7159.5,113692.86
JAGERMEISTER T-SHIRT PACK,7154.25,172465.12
TANQUERAY NO. TEN,7128.75,239923.35
SALVADOR'S MARGARITA 4PAK,7104.8,47224.29
SMIRNOFF FLUFFED MARSHMALLOW,7071.0,112706.6
SMIRNOFF SOURS GREEN APPLE,7039.0,116301.81999999999
THREE OLIVES MANGO FLAVORED VODKA,7023.75,147888.66
EVAN WILLIAMS VINTAGE,7005.0,201066.56
CAPTAIN MORGAN PINEAPPLE,6981.75,118949.86
SHELLBACK SILVER,6973.5,101335.92
METAXA OUZO,6948.0,139464.36
EAGLE RARE,6929.25,227591.0
PEARL PEACH,6910.5,107125.43
COPA DE ORO MEXICAN COFFEE,6881.25,75344.67
BLUE CHAIR BAY COCONUT,6876.75,129557.97
PATRON REPOSADO TEQUILA,6863.25,382743.0
CEDAR RIDGE SHORT'S WHISKEY,6813.0,188493.0
DR. MCGILLICUDDY'S ROOT BEER SCHNAPPS,6794.25,113194.02
MC GUIRES CREAM LIQUEUR,6786.0,85836.82
RIVER ROSE GIN,6785.25,219422.39
360 VODKA,6771.75,101201.5
SMIRNOFF POMEGRANATE VODKA,6758.25,108518.01
RIDGEMONT RESERVE 1792,6747.0,215411.61
GLENLIVET 15 YEAR FRENCH OAK,6740.25,380876.71
UV CHERRY RED VODKA,6716.5,97382.4
SMIRNOFF PASSION FRUIT VODKA,6716.25,107431.83
ABSOLUT BERRI ACAI,6686.25,144187.93
ABSOLUT CHERRYKRAN,6657.6,141053.07
MILAGRO SILVER TEQUILA,6574.5,205577.95
RUSSIAN STANDARD VODKA,6573.75,137133.43
MR. BOSTON ROCK & RYE,6537.0,64441.84
JEREMIAH WEED BOURBON LIQUEUR,6515.25,83775.15
KINKY VODKA,6494.0,92175.86
GRIFF'S COWBOY WHISKEY,6493.5,168790.77
CAMPARI ITALIAN APERITIVO,6451.5,191923.65
MALIBU ISLAND MELON,6420.75,93808.21
JAMESON BLACK BARREL,6414.0,226530.58
CABO WABO BLANCO,6400.5,230180.88
PHILLIPS HOT CINNAMON SCHNAPPS,6393.75,92607.92
REYKA VODKA,6376.5,152990.41
FUZZY'S ULTRA PREMIUM VODKA,6369.0,187469.83
CEDAR RIDGE SINGLE MALT WHISKEY,6345.75,294607.5
PEARL BLUEBERRY VODKA,6301.5,96848.61
SMIRNOFF CHERRY,6293.25,103880.58
PARROT BAY MUDSLIDE,6282.5,44372.4
ABSOLUT GRAPEVINE,6273.75,132177.37
ABSOLUT NIGHTLIFE,6263.25,143971.24
TORTILLA SILVER DSS,6257.0,42304.8
EL ZARCO SILVER,6250.5,95872.65
CRYSTAL HEAD VODKA,6247.2,317388.86000000004
SMIRNOFF ROOT BEER FLOAT,6222.5,102260.59999999999
OLE SMOKY CHERRY MOONSHINE,6218.25,152981.28
CALICO JACK SPICED,6210.0,71787.6
"THREE OLIVES ""DUDE"" VODKA",6204.75,134363.06
SAUZA CONMEMORATIVO,6171.0,174874.29
RED STAG HARDCORE CIDER,6145.5,115439.03
THREE OLIVES RASPBERRY VODKA,6136.5,129860.72
HAWKEYE BACON VODKA,6122.0,45960.7
BROKER'S LONDON DRY GIN,6081.75,119309.73
TIPPY COW VANILLA SOFT SERVE,6078.75,123076.77
EFFEN VODKA,6058.875,166607.4
SKYY INFUSIONS PINEAPPLE,6047.25,119439.92
SMIRNOFF ICED CAKE,6044.75,97470.56999999999
BURNETT'S TROPICAL PUNCH,6030.75,54728.88
CHI-CHI'S SKINNY LONG ISLAND ICED TEA,6028.75,32694.45
ARROW CREME DE CACAO WHITE,5991.75,53795.87
SMIRNOFF LIME,5979.75,98705.74
SOUTHERN COMFORT LIME,5968.5,115260.23
CANADIAN CLUB RESERVE TRIPLE AGED,5922.75,113808.58
JOSE CUERVO AUTHENTIC LIME MARGARITA 4PK CANS,5842.4,42503.46
SMIRNOFF GREEN APPLE,5838.0,96365.92
DEKUYPER MICHIGAN CHERRY LIQUEUR,5809.5,72755.7
RUE 33 FRENCH VODKA,5804.75,91712.9
OLMECA ALTOS REPOSADO,5796.75,128446.09999999999
HENNESSY BLACK,5794.5,263036.27
PURPLE PASSION,5773.25,27783.53
WINDSOR CANADIAN SUPREME WHISKY,5772.45,66927.25
ADMIRAL NELSON SPICED 101,5762.0,84350.52
CEDAR RIDGE DARK RUM,5744.25,201048.75
DR. MCGILLICUDDY'S CHERRY,5738.0,85398.0
CANADIAN HUNTER RYE,5661.75,56617.5
TIPPY COW CHOCOLATE,5657.0,114812.4
360 DOUBLE CHOCOLATE VODKA,5607.75,85450.39
QUEEN BEE HONEY WHISKEY,5594.25,203288.96
GREY GOOSE W 2 MARTINI GLASSES,5584.5,169665.42
STOLICHNAYA OHRANJ VODKA,5553.5,135292.96
KRINGLE CREAM,5550.75,138768.75
AFTER SHOCK CINNAMON LIQUEUR,5535.5,153182.82
EVAN WILLIAMS PEPPERMINT CHOCOLATE EGG NOG,5516.25,49204.95
YUKON JACK PERMA FROST SCHNAPPS,5511.0,101272.29
BLANTON'S BOURBON,5452.5,306212.4
UV SUGAR CRUSH,5421.75,72479.95
PINNACLE TROPICAL PUNCH,5406.0,81083.73
99 BLACKBERRIES,5404.25,97103.85
BURNETT'S STRAWBERRY BANANA,5386.5,49063.02
UV COCONUT VODKA,5382.75,68923.41
DEKUYPER 03,5378.25,128515.07
JOSE CUERVO AUTHENTIC LIME MARGARITA POUCH,5325.25,37428.9
HENNESSY VS GOLD BOX,5316.0,196301.62
TRAVIS HASSE'S COW PIE,5301.25,84593.91
ICE HOLE PLUM SCHNAPPS,5269.25,52090.5
PARROT BAY ORANGE PINEAPPLE DREAM,5244.75,37042.92
STOLI RAZBERI (RASPBERRY),5244.75,127191.38
CAPTAIN MORGAN COCONUT,5240.75,89901.09999999999
TIPPY COW ORANGE CREAM,5218.0,105908.1
MALIBU ISLAND SPICED,5216.75,81986.83
MALIBU W DOLE PINEAPPLE JUICE,5211.5,72555.97
SVEDKA CHERRY VODKA,5208.75,84342.94
GREY GOOSE W 2 GLASSES & SHAKER,5181.75,145473.93
SMIRNOFF BLUEBERRY,5177.25,85459.14
RED STAG BLACK CHERRY,5172.5,106596.0
KAHLUA FRENCH VANILLA LIQUEUR,5163.75,119788.32
GLENFIDDICH 15 YR SOLERA RESERVA,5157.0,325845.64
SMIRNOFF PINEAPPLE VODKA,5124.0,82210.81
CIROC AMARETTO,5120.15,194215.56
99 PEPPERMINT,5101.2,76991.97
VINIQ RUBY,5083.125,105507.75
SMIRNOFF PEACH VODKA,5082.0,81326.79
OLE SMOKY APPLE PIE MOONSHINE,5078.25,125001.6
SMIRNOFF SORBET LIGHT LEMON,5033.75,82440.82
JACK DANIEL'S BLACK W 2 GLASSES,5021.25,142754.08
MALIBU SUNSHINE,4980.5,68192.36
THREE OLIVES BUBBLE VODKA,4956.75,107587.34
SWEET CAROLINA SWEET TEA FLAVORED VODKA,4936.5,75502.87
FIREFLY APPLE PIE MOONSHINE,4935.0,97515.6
GLENLIVET 18YR,4887.75,455874.45
DR. MCGILLICUDDY'S LEMON DROP,4879.5,84555.06
CASTILLO SPICED RUM,4872.25,39384.61
KAHLUA ESPECIAL,4843.5,119806.27
CHILA ORCHATA,4821.75,92933.27
99 CINNAMON,4816.8,72616.83
BAKON VODKA,4791.75,141323.32
CAPTAIN MORGAN GRAPEFRUIT,4776.25,82488.67000000001
BLUE CHAIR BAY WHITE,4758.0,89640.72
99 APPLES,4725.75,82083.15
MEMBERS MARK SILVER TEQUILA,4704.0,54754.56
BAILEY'S MINT CHOCOLATE IRISH CREAM,4650.0,119944.38
BLUE CHAIR BAY COCONUT SPICED,4630.5,87238.62
SMIRNOFF SOURS FRUIT PUNCH,4630.5,76556.62
DEWARS 12YR,4606.5,175490.79
CEDAR RIDGE APPLE BRANDY,4581.0,171818.04
OLD GRAND-DAD BOND BOURBON 4 YR,4578.0,95184.11
BAILEY'S IRISH CREAM S,4564.0,172727.06
EL JIMADOR ANEJO TEQUILA,4563.0,118064.79
BURNETT'S SUGAR COOKIE,4552.25,42745.049999999996
SMIRNOFF RED WHITE AND BERRY,4478.25,76794.86
SKINNYGIRL BARE NAKED,4454.25,101964.46
HORNITOS LIME SHOT,4439.25,119648.42
SMIRNOFF PEACH,4428.75,73103.9
360 GEORGIA PEACH VODKA,4427.25,66072.91
CROWN ROYAL NORTHERN HARVEST RYE,4424.25,150424.5
THREE OLIVES MARILYN MONROE STRAWBERRY,4416.75,93683.74
JOSE CUERVO AUTHENTIC STRAWBERRY LIME MARGARITA 4PK CANS,4412.8,32103.12
TOOTERS ALA BAMA SLAMA,4389.375,96586.6
PIEHOLE APPLE PIE,4371.75,65137.84
TGIF ON THE ROCKS WHITE RUSSIAN,4356.75,33285.57
KAHLUA W ABSOLUT 50ML & WHITE RUSSIAN GLASS,4350.4,91976.62
GEORGE DICKEL RYE,4337.25,113544.1
BAILEY'S IRISH CREAM W 4 SHOT GLASSES,4314.0,114349.76
PEARL CARAMEL VODKA,4308.0,67688.96
JAMESON CASKMATES,4305.75,136896.34
JOSE CUERVO AUTHENTIC POMEGRANATE MARGARITA,4259.5,29535.7
BAILEY'S CHOCOLATE CHERRY,4247.25,112457.48
RELSKA VODKA,4240.25,26052.83
SKYY INFUSIONS WILD STRAWBERRY,4236.75,84336.96
BACARDI BLACK,4214.25,61952.6
JIM BEAM JACOB'S GHOST,4203.35,102265.88
RONDIAZ RUM SPICED BLACK CHERRY,4185.75,36928.17
UV RUBY RED GRAPEFRUIT,4179.75,56267.55
UV SRIRACHA,4174.25,54258.22
ABSENTE,4155.0,186107.44
CHI-CHI'S CHOCOLATE MALT,4152.75,22437.75
OLD FORESTER BOURBON,4137.75,69149.87
GREY GOOSE VODKA L'ORANGE,4130.25,149796.42
TGI FRIDAYS PINA COLADA,4126.5,28083.78
TWO FINGERS GOLD TEQUILA,4124.25,64157.56
JAMESON 12YR HA,4115.25,197816.27
CAPTAIN MORGAN PRIVATE STOCK,4089.75,68357.25
CROWN ROYAL XO,4078.5,203870.62
10 COCONUT,4075.75,114877.45
KINKY VODKA MARTINI PACK,4068.0,16950.0
BACARDI WOLF BERRY,4053.0,65832.69
FOUR ROSES SMALL BATCH,4043.25,123335.64
THREE OLIVES CAKE FLAVORED VODKA,4012.5,86658.06
DEKUYPER CRANBERRY CRUSH,4009.0,45274.13
BIRD DOG APPLE FLAVORED WHISKEY,4008.15,75561.0
SKINNYGIRL GRAPEFRUIT MARGARITA,3995.25,53622.96
STOLI STRASBERRI VODKA,3987.75,97216.94
CIROC COCONUT VODKA,3985.5,146262.6
SMIRNOFF CRANBERRY,3985.5,65787.32
PEARL PARTY PACK,3985.2,54252.0
PIEHOLE PECAN PIE,3984.75,59536.58
FIREFLY PEACH MOONSHINE,3936.0,77775.0
EVAN WILLIAMS BLACK LABEL,3935.25,55513.23
BURNETT'S CITRUS,3908.25,35224.86
SEAGRAMS PEACH TWISTED GIN,3901.5,49114.98
CEDAR RIDGE MALTED RYE,3898.5,153392.98
SKINNYGIRL MOJITO,3898.5,53195.8
MALIBU SWIRL,3883.25,54973.53
DALWHINNIE 15 YR SINGLE MALT SCOTCH,3869.25,256072.99
JACK DANIEL'S W BILLBOARD,3853.5,104352.78
NEW AMSTERDAM,3834.7479999999996,64455.9
CANADIAN CLUB SMALL BATCH CLASSIC,3822.75,98304.42
JACK DANIELS W GLASS,3820.5,115175.34
KAHLUA PEPPERMINT MOCHA,3818.25,87077.34
ABERLOUR 12 YEAR SINGLE MALT SCOTCH,3806.25,188488.3
SMIRNOFF 1.75L GLASS W 2-50MLS,3785.1,45277.98
PARAMOUNT ANISETTE,3779.25,35056.12
EVAN WILLIAMS FIRE,3777.75,58238.51
BACARDI ARCTIC GRAPE LIQUEUR,3776.25,61038.06
PARAMOUNT CHERRY BRANDY,3723.375,49725.36
OR-G,3719.25,92927.34
ABSOLUT CILANTRO,3717.75,77845.15
10 REPOSADO,3717.15,83495.01
PEARL RED BERRY VODKA,3711.0,58086.31
DR. MCGILLICUDDY'S PEACH,3705.25,61212.07000000001
RED STAG SPICED,3696.75,79601.74
SVEDKA STRAWBERRY COLADA,3664.8,60839.26
TIM SMITH'S CLIMAX MOONSHINE,3649.5,127732.5
JOHNNIE WALKER DOUBLE BLACK,3642.75,165237.22
TGIF ON THE ROCKS MUDSLIDE,3642.75,27830.61
SMIRNOFF PINEAPPLE,3639.75,60080.14
TOOTERS BLU-DACIOUS KAMIKAZI,3622.875,79803.72
TGIF ON THE ROCKS LONG ISLAND ICE TEA,3619.5,27652.98
PINNACLE PEACH,3619.5,54242.68
MONTE ALBAN MEZCAL,3610.5,95733.12
BARTON LONG ISLAND ICE TEA,3608.5,22684.56
YUKON JACK WICKED HOT,3606.25,63413.58
PINNACLE STRAWBERRY-KIWI VODKA,3587.25,53795.64
SEAGRAM'S ORANGE TWISTED GIN,3569.25,42991.31
O'DOWD'S PUMPKIN SPICE,3564.0,50418.72
TOOTERS APPLE-TINI,3556.5,78398.63
PRIDE OF THE WAPSI,3555.375,129197.46
CAPTAIN MORGAN SIGNATURE SERIES LIMITED EDITION,3549.75,70995.0
PRAIRIE ORGANIC CUCUMBER,3547.5,78045.0
PINNACLE CHOCOLATE WHIPPED,3546.75,53252.38
WOODFORD RESERVE DOUBLE OAKED,3543.75,199087.74
MOTHERS PUMPKIN SPICED LIQUEUR,3473.25,34732.5
CABRITO REPOSADO,3473.25,76170.74
FOUR ROSES SINGLE BARREL,3445.5,139288.5
ABSOLUT ZING ZANG BLOODY MARY MIX,3417.25,62716.08
BARENJAGER IMP HONEY LIQUEUR,3391.5,101202.36
ARDBEG 10 YR ISLAY SINGLE MALT SCOTCH,3362.25,171823.63
CROWN ROYAL W FLASK,3353.0,89094.0
MR. BOSTON HOLIDAY NOG,3352.5,24406.2
AZUL REPOSADO,3347.25,72379.12
REMY MARTIN VS COGNAC,3336.0,118104.86
REDBREAST 12YR,3333.0,206060.55
COURVOISIER VSOP COGNAC,3312.75,133161.3
BAILEY'S HAZELNUT IRISH CREAM,3309.25,86774.72
ANGEL'S ENVY PORT FINISHED,3301.5,161773.5
ARROW CREME DE CACAO BROWN,3299.25,29534.33
OBAN SINGLE MALT SCOTCH,3288.75,257069.35
DEEP EDDY CRANBERRY,3288.3,53939.58
PEARL WEDDING CAKE VODKA,3268.75,50408.479999999996
HIRAM WALKER ORANGE CURACAO 30,3252.0,21911.4
FULTON''S HARVEST APPLE PIE LIQUEUR,3237.0,35175.4
SKINNYGIRL SWEET RITA,3231.5,33051.98
SIPP'N SWEET CORN,3201.0,134442.0
HPNOTIQ HARMONIE,3177.75,63120.63
THREE OLIVES VANILLA VODKA,3164.25,68322.0
SAZERAC RYE,3161.25,105441.7
JAMESON W SHOT GLASS,3143.25,91112.34
LAGAVULIN 16YR SINGLE MALT SCOTCH,3140.25,304381.86
PRAIRIE ORGANIC VODKA,3135.0,65936.88
KNOB CREEK SINGLE BARREL RESERVE,3132.0,157180.32
DEKUYPER CACTUS JUICE SCHNAPPS,3110.25,38325.15
JACK DANIEL'S TENNESSEE HONEY W 2 GLASSES,3105.0,87354.0
JOHNNIE WALKER BLUE,3102.75,802569.71
BAILEY'S COFFEE IRISH CREAM,3100.5,80140.12
DEEP EDDY LEMON,3092.85,45507.96
PENDLETON 1910,3068.25,122370.0
RUSSELL'S RESERVE 10YR,3056.25,108399.55
SEAGRAMS SEVEN CROWN ORCHARD APPLE,3041.75,43000.34
CALICO JACK WHIPPED,3039.75,33796.28
ABSOLUT WARHOL,3038.75,65100.92
PINNACLE RED BERRY,3033.75,45651.0
BURNETT'S CANDY CANE,3033.75,28821.78
HIRAM WALKER ORANGE CURACAO,3028.0,20523.8
SKINNYGIRL CUCUMBER,3022.5,69899.93
IL TRAMONTO LIMONCELLO,3015.0,60276.6
JIM BEAM WHITE W 3-50MLS,3009.0,60059.64
ABSOLUT W 4-50MLS,2987.25,821227.56
DEHNER DISTILLERY 151,2966.25,43448.58
CROWN ROYAL XR CANADIAN WHISKEY,2955.75,387311.77
EL MAYOR ANEJO TEQUILA,2951.25,93440.64
FINLANDIA IMP VODKA,2949.75,50578.38
HENNESSY VS W HENNESSY BLACK 50ML,2932.8,101694.84
JOSE CUERVO CINGE,2932.75,63250.92
MALIBU ORANGE FLOAT,2891.1,39126.5
PIMM'S CUP NO. 1,2887.5,57434.02
CHI-CHI'S PINEAPPLE MARGARITA,2864.05,17790.75
CRUZAN BLUEBERRY LEMONADE,2862.0,39056.5
RONDIAZ SPICED RUM,2853.0,28527.48
CANADIAN CLUB DOCK 57 BLACKBERRY,2845.5,57907.18
GLENMORANGIE 10YR DISCOVERY PACK W 3 50ML,2833.2,102449.92
JOSE CUERVO GOLDEN GRAPEFRUIT MARGARITA,2829.75,25451.58
10 SILVER,2801.0,64955.19
BUCHANAN SPECIAL RESERVE 18YR,2798.25,220357.9
DEKUYPER LUSCIOUS POMEGRANATE PLEASURE LIQ,2794.5,34613.7
PINNACLE COOKIE DOUGH,2792.25,42009.48
SKINNYGIRL TANGERINE,2785.5,65381.13
THREE OLIVES CHOCOLATE VODKA,2775.75,59690.6
IOWA COFFEE COMPANY LIQUEUR,2769.75,100712.09
FOUR ROSES YELLOW LABEL,2762.75,59650.74
REBEL YELL,2761.5,45984.0
LEXINGTON,2757.75,78805.95
MACALLAN FINE OAK 10 YEAR,2750.25,130330.15
PINNACLE RED LIQUORICE,2744.85,41866.5
PARAMOUNT CREME DE ALMOND,2735.25,24567.23
FRENCH KISS TROPICAL LIQUEUR,2732.25,18834.3
CAPTAIN MORGAN SPICED 1.75L W CM WHITE 200ML TRAY PACK,2728.05,37617.23
SLOW AND LOW,2726.25,57665.47
TEMPLETON 6YR RYE,2722.5,123891.9
PEARL GRAPE,2719.5,42644.73
QUADRO RUSSIAN VODKA,2712.0,88855.23
DOMAINE DE CANTON,2703.0,99034.56
PIEHOLE CHERRY PIE,2700.5,40197.009999999995
AVION REPOSADO,2698.5,141460.85
CHI-CHI'S RUBY RED MARGARITA,2678.0,15240.75
BACARDI 8 RUM,2674.5,61834.44
CAPEL PISCO PREMIUM,2669.25,47868.87
JOSE CUERVO BLACK MEDALLION,2661.0,66489.52
CLEARHEART GIN,2646.75,65110.05
BOMBAY SAPPHIRE EAST,2644.5,70551.04
HIRAM WALKER PUMPKIN SPICE,2641.5,21096.78
CALICO JACK,2633.75,21927.85
CHRISTIAN BROS PEACH,2630.025,28571.26
THREE OLIVES TARTZ,2629.5,56163.14
DEEP EDDY LEMON VODKA,2625.0,47250.0
PINNACLE CUCUMBER,2622.75,39240.61
ADMIRAL NELSON EGG NOG,2622.0,23388.24
