weekStarting,Brand,Sum_sum_sale_liters,Sum_sum_sale_dollars
2012-02-05,Phillips,5302,34366.58
2012-02-05,Seagrams,7414.65,87315.2300000002
2012-02-05,Smirnoff,7225.425,105063.31
2012-02-12,Absolut,4683.625,99375.9200000001
2012-02-12,Admiral Nelson,3802.475,40077.48
2012-02-12,Bacardi,8366.701,117795.76
2012-02-12,Barton,9260.5,55043.13
2012-02-12,Black Velvet,38611.775,353374.3
2012-02-12,Canadian,17082.775,232660.69
2012-02-12,Captain Morgan,16659.575,264011.31
2012-02-12,Crown Royal,5024.025,142306.02
2012-02-12,Fireball,2278.375,36756.77
2012-02-12,Five,13631.975,86960.3
2012-02-12,Five Star,3343.15,22357.67
2012-02-12,Hawkeye,13463,85277.0799999999
2012-02-12,Jack Daniels,6373.075,158323.4
2012-02-12,Jagermeister,4280.5,97745.51
2012-02-12,Jim Beam,3475.65,62109.6500000001
2012-02-12,McCormick,273,2266.94
2012-02-12,Paramount,15179.125,83380.8500000002
2012-02-12,Phillips,9373.25,59621.77
2012-02-12,Seagrams,7278.05,85261.42
2012-02-12,Smirnoff,6599.425,95650.2500000001
2012-02-19,Absolut,4934.75,105577.42
2012-02-19,Admiral Nelson,3854.15,40842.3999999999
2012-02-19,Bacardi,8955.976,126400.47
2012-02-19,Barton,7658.875,45710.37
2012-02-19,Black Velvet,33715.225,306440.8
2012-02-19,Canadian,19517.2,284073.01
2012-02-19,Captain Morgan,22406.875,349053.32
2012-02-19,Crown Royal,7216.8,202886.56
2012-02-19,Fireball,2825,46625.34
2012-02-19,Five,14263.075,91155.11
2012-02-19,Five Star,3746,25034.77
2012-02-19,Hawkeye,15563.375,99322.2099999998
2012-02-19,Jack Daniels,6311.8,156630.71
2012-02-19,Jagermeister,3974.375,90892.96
2012-02-19,Jim Beam,3772.6,67603.2799999999
2012-02-19,McCormick,225,1812.36
2012-02-19,Paramount,15439.875,84464.3800000002
2012-02-19,Phillips,7209.125,45977.06
2012-02-19,Seagrams,8510.375,98609.4900000001
2012-02-19,Smirnoff,9124.45,128685.37
2012-02-26,Absolut,4164.35,88546.0600000001
2012-02-26,Admiral Nelson,3722.525,39326.4599999999
2012-02-26,Bacardi,9693.106,134734.04
2012-02-26,Barton,7307.25,43597.53
2012-02-26,Black Velvet,25828.925,236808.99
2012-02-26,Canadian,18789.4,253245.5
2012-02-26,Captain Morgan,16745.975,264892.61
2012-02-26,Crown Royal,5837.775,163441.92
2012-02-26,Fireball,1651.875,27136.16
2012-02-26,Five,13991.225,89847.5500000001
2012-02-26,Five Star,3385.825,22884.7
2012-02-26,Hawkeye,16938.875,106822.38
2012-02-26,Jack Daniels,7778.1,192935.27
2012-02-26,Jagermeister,4783.1,109267.83
2012-02-26,Jim Beam,3687.825,65632.1700000001
2012-02-26,McCormick,231.25,1880.57
2012-02-26,Paramount,14888.75,86037.2300000002
2012-02-26,Phillips,9265.5,59042.44
