weekStarting,Brand,Sum_sum_sale_liters,Sum_sum_sale_dollars,TweetCount
2012-09-09,Smirnoff,16625.525,231994.73,3
2012-09-16,Admiral Nelson,4007.5,42517.1299999999,1
2012-09-16,Crown Royal,10992.6,315234.47,3
2012-09-16,Seagrams,9715.125,111740.22,29
2012-09-16,Smirnoff,10885.425,158204.53,1
2012-09-23,Admiral Nelson,3828.625,40182.02,1
2012-09-23,Seagrams,8450.325,97881.1300000002,9
2012-09-23,Smirnoff,10318.075,145967.93,7
2012-09-30,Crown Royal,13103.675,372281.22,3
2012-09-30,Seagrams,8619.5,99748.5800000001,9
2012-09-30,Smirnoff,12483.15,177030.75,5
2012-10-07,Admiral Nelson,7464.375,77476.4599999999,1
2012-10-07,Crown Royal,8577.27500000001,242863.78,7
2012-10-07,Jack Daniels,14637.75,377691.43,1
2012-10-07,Seagrams,7620.35,88847.22,7
2012-10-07,Smirnoff,11909.375,170678.9,6
2012-10-14,Admiral Nelson,5441.425,58552.19,4
2012-10-14,Crown Royal,15579.975,440900.59,13
2012-10-14,Jack Daniels,16657.3,419407.849999999,54
2012-10-14,Seagrams,9300.65,104747.11,7
2012-10-14,Smirnoff,15310,210664.11,5
2012-10-21,Absolut,14365.275,302811.63,1
2012-10-21,Admiral Nelson,11046.325,113242.06,2
2012-10-21,Crown Royal,7637.5,218494.6,12
2012-10-21,Jack Daniels,11683.95,301950.91,6
2012-10-21,Seagrams,10338.675,117370,5
2012-10-21,Smirnoff,13099.325,183962.48,9
2012-10-28,Admiral Nelson,4987.575,52377.35,1
2012-10-28,Crown Royal,5268.175,149350.13,1
2012-10-28,Jack Daniels,4269.525,108224.15,2
2012-10-28,Jagermeister,3822.95,91091.52,32
2012-10-28,Seagrams,6925.575,82214.16,7
2012-10-28,Smirnoff,7271.775,107314.69,8
2012-11-04,Crown Royal,6327.5,180739.65,7
2012-11-04,Jack Daniels,5477.575,143315.71,1
2012-11-04,Jagermeister,3542.75,85130.12,23
2012-11-04,Seagrams,7549.525,88436.88,7
2012-11-04,Smirnoff,8681.675,126662.39,15
2012-11-11,Admiral Nelson,5931.025,62749.05,2
2012-11-11,Crown Royal,9391.65000000001,265829.86,5
2012-11-11,Jack Daniels,9920.725,264794.71,1
2012-11-11,Jagermeister,6180.375,146840.67,28
2012-11-11,Seagrams,10990.95,127474.5,6
2012-11-11,Smirnoff,11493.475,164677.61,11
2012-11-18,Admiral Nelson,1793.925,18879.31,2
2012-11-18,Crown Royal,7064.25,196383.81,3
2012-11-18,Jack Daniels,2480.8,63825.53,5
2012-11-18,Jagermeister,1527.75,36705.32,17
2012-11-18,Seagrams,5226.45,58750.88,6
2012-11-18,Smirnoff,4490.05,63213.09,21
2012-11-25,Absolut,7010.75,151611.69,2
2012-11-25,Admiral Nelson,4467.775,47393.48,2
2012-11-25,Crown Royal,8811.425,251374.49,7
2012-11-25,Jack Daniels,9323.775,234238.16,3
2012-11-25,Jagermeister,3932.6,93971.4,15
2012-11-25,Seagrams,9924.65,115312.05,3
2012-11-25,Smirnoff,10418.175,150311.07,26
2012-12-02,Absolut,5339.725,115126.41,5
2012-12-02,Crown Royal,5865.225,166282.7,12
2012-12-02,Jagermeister,4723.6,112287.2,38
2012-12-02,Seagrams,7958.225,93628.75,5
2012-12-02,Smirnoff,7664.75,115123.67,33
2012-12-09,Absolut,8189.725,165711.73,5
2012-12-09,Admiral Nelson,4616.925,48824.5999999999,1
2012-12-09,Crown Royal,7818.325,225051.08,5
2012-12-09,Jagermeister,8648.65,203959.34,39
2012-12-09,Seagrams,12942.65,148293.3,6
2012-12-09,Smirnoff,11634.8,166043.18,24
2012-12-16,Absolut,9121.7,197855.77,2
2012-12-16,Admiral Nelson,5862.45,61903.5799999999,2
2012-12-16,Crown Royal,11606.725,335957.979999999,3
2012-12-16,Jagermeister,6939.975,165239.89,1
2012-12-16,Seagrams,12061.575,139975.85,8
2012-12-16,Smirnoff,11734.825,175448.33,27
2012-12-23,Absolut,6138.525,131242.14,3
2012-12-23,Admiral Nelson,5526.025,58374.2899999999,2
2012-12-23,Jagermeister,3933.85,94386.7,7
2012-12-23,Seagrams,9118.05,107163.96,7
2012-12-23,Smirnoff,9744.5,146318.17,16
2012-12-30,Absolut,3808.4,80018.29,3
2012-12-30,Admiral Nelson,3128.05,33133.71,2
2012-12-30,Crown Royal,4658.725,135294.06,1
2012-12-30,Jagermeister,2157.875,52080.45,6
2012-12-30,Seagrams,5362.1,60960,4
2012-12-30,Smirnoff,6298.6,93311.94,19
2013-01-06,Absolut,4089.85,89276.8200000001,4
2013-01-06,Admiral Nelson,6579.6,69326.2299999999,2
2013-01-06,Crown Royal,4710.525,134320.83,9
2013-01-06,Jagermeister,2925.775,70043.37,2
2013-01-06,Seagrams,9000.525,99551.9300000001,6
2013-01-06,Smirnoff,9113.4,130200.79,30
2013-01-13,Absolut,4996.875,107583.07,3
2013-01-13,Admiral Nelson,3986.425,42105.8499999999,2
2013-01-13,Crown Royal,5172.7,145762.78,19
2013-01-13,Jagermeister,2748.325,65825.85,19
2013-01-13,Seagrams,7666.1,87875.98,4
2013-01-13,Smirnoff,8261.85,119851.54,22
2013-01-20,Absolut,5724.85,117956.84,2
2013-01-20,Admiral Nelson,4060.075,42862.7499999999,2
2013-01-20,Crown Royal,4019.325,113029.65,9
2013-01-20,Jagermeister,2860.2,68397.24,16
2013-01-20,Seagrams,8469.3,95245.0800000001,6
2013-01-20,Smirnoff,7631.55,111297.94,15
2013-01-27,Absolut,4749.35,100986.39,3
2013-01-27,Admiral Nelson,5470.6,56524.6799999999,1
2013-01-27,Crown Royal,5389.8,151945.99,3
2013-01-27,Jagermeister,2749.025,66194.97,8
2013-01-27,Seagrams,9403.6,103969.46,4
2013-01-27,Smirnoff,9246.075,134085.83,14
2013-02-03,Absolut,6652.55,135909.3,6
2013-02-03,Crown Royal,8099.87500000001,227373.64,11
2013-02-03,Jagermeister,3036.875,72962.7900000001,10
2013-02-03,Seagrams,7082.975,83122.3900000002,5
2013-02-03,Smirnoff,8011.425,119209.19,13
2013-02-10,Absolut,7590.55,162597.43,6
2013-02-10,Admiral Nelson,4025.3,42537.3499999999,2
2013-02-10,Crown Royal,13378.225,370325.04,40
2013-02-10,Jagermeister,3485.775,83164.19,8
2013-02-10,Seagrams,6843.7,79326.5900000002,8
2013-02-10,Smirnoff,9342.075,134344.12,16
2013-02-17,Absolut,4969.175,107018.02,3
2013-02-17,Admiral Nelson,4095.1,43114.6699999999,2
2013-02-17,Crown Royal,9338.35,262272.56,50
2013-02-17,Jagermeister,3681.85,87895.02,15
2013-02-17,Seagrams,7020.525,82681.25,3
2013-02-17,Smirnoff,6949.95,103660.55,12
2013-02-24,Absolut,7839.175,165090.71,3
2013-02-24,Crown Royal,5708.75000000001,161596.84,97
2013-02-24,Jagermeister,3204.5,76751.22,7
2013-02-24,Seagrams,7185.7,83680.4100000001,2
2013-02-24,Smirnoff,6594.025,98726.9700000001,13
2013-03-03,Absolut,4663.925,99472.3800000003,4
2013-03-03,Crown Royal,6342.675,177112.07,111
2013-03-03,Jack Daniels,8934.975,228646.59,6
2013-03-03,Jagermeister,4199.7,100122.94,7
2013-03-03,Seagrams,7173.85,83871.6600000001,2
2013-03-03,Smirnoff,7409.95,111152.38,7
2013-03-10,Absolut,5017.85,106516.14,2
2013-03-10,Admiral Nelson,4551.425,47706.52,2
2013-03-10,Crown Royal,5626.45000000001,158946.65,103
2013-03-10,Jack Daniels,6688.45,172308.61,16
2013-03-10,Jagermeister,5510.775,130338.75,4
2013-03-10,Smirnoff,7247.325,108348.91,11
2013-03-17,Absolut,5702.3,121735.47,2
2013-03-17,Crown Royal,5678.67500000001,160122.94,103
2013-03-17,Jack Daniels,6668.425,173900.49,10
2013-03-17,Jagermeister,4148.475,99130.79,7
2013-03-17,Seagrams,6903.525,81250.8100000001,2
