week,city,Sum_LitersPerCapita,Sum_salesPerCapita,Sum_keyCount
2012-01-01,CEDAR FALLS,9.79638831656769e-002,1.39206835535087,1
2012-01-01,CEDAR RAPIDS,0.107359572102297,1.41741298263103,9
2012-01-01,DES MOINES,0.113389673370418,1.73435439547378,5
2012-01-01,DUBUQUE,0.154409088589942,2.12391656320686,7
2012-01-01,INDIANOLA,0.133051011831642,1.7773983319325,4
2012-01-01,IOWA CITY,6.5960994341148e-002,1.00935004042037,9
2012-01-01,MOUNT PLEASANT,0.154550575121546,2.19594568955295,0
2012-01-01,MOUNT VERNON,9.50289790459206e-002,1.32468123049487,0
2012-01-01,OSKALOOSA,0.102804342207289,1.30894374084604,3
2012-01-01,PELLA,7.09712438483065e-002,1.04599922802277,3
2012-01-01,SIOUX CITY,2.54968546624648e-002,0.301546709167965,4
2012-01-01,STORM LAKE,0.111228230980752,1.51721906507791,3
2012-01-01,WAVERLY,0.117233757202464,1.49589111861713,0
2012-01-08,CEDAR FALLS,0.135816870682342,1.8261963398376,5
2012-01-08,CEDAR RAPIDS,0.151324910854645,1.86895433457306,14
2012-01-08,DECORAH,0.144413178196535,2.00678765650689,4
2012-01-08,DES MOINES,0.144793766937669,2.07448770978938,12
2012-01-08,DUBUQUE,0.141067909318186,1.89011156652324,5
2012-01-08,FAYETTE,5.93561368209256e-002,0.967605633802817,1
2012-01-08,INDIANOLA,9.06122712872567e-002,1.2163037434538,3
2012-01-08,IOWA CITY,0.140995688493667,2.11109781729992,5
2012-01-08,MOUNT PLEASANT,0.117769477054429,1.35598007826396,1
2012-01-08,MOUNT VERNON,0.740414623272403,10.0820597414177,0
2012-01-08,ORANGE CITY,1.27057115198451e-002,0.135942239432075,1
2012-01-08,OSKALOOSA,0.112477384337038,1.41612561385371,6
2012-01-08,SIOUX CENTER,0.109067149175714,1.43558906312827,0
2012-01-08,SIOUX CITY,0.115766834498497,1.60935909974523,1
2012-01-08,WAVERLY,7.44958275382476e-002,0.884139678124379,0
2012-01-15,CEDAR FALLS,0.151673130529633,2.07948636528906,8
2012-01-15,CEDAR RAPIDS,0.156896974809248,2.00233464974503,20
2012-01-15,DAVENPORT,0.131516494121776,1.8733110097288,0
2012-01-15,DECORAH,0.160806879979765,2.00873276843303,13
2012-01-15,DES MOINES,0.14638712974849,2.16661018399658,8
2012-01-15,DUBUQUE,0.141931835575435,1.83914794469294,7
2012-01-15,INDIANOLA,9.78777397038857e-002,1.18623456391026,7
2012-01-15,IOWA CITY,0.156657235246564,2.07969267043923,5
2012-01-15,MOUNT PLEASANT,0.114484762243567,1.38943673662991,0
2012-01-15,MOUNT VERNON,0.82371266161391,11.3239567543469,4
2012-01-15,ORANGE CITY,2.56534365924492e-002,0.271222975153275,1
2012-01-15,OSKALOOSA,0.100292926682175,1.22431894546394,15
2012-01-15,SIOUX CENTER,3.88017691998392e-002,0.622778447929232,0
2012-01-15,SIOUX CITY,0.112292172275148,1.44503893939943,4
2012-01-15,STORM LAKE,0.159470669110907,1.96591750687443,2
2012-01-15,WAVERLY,0.121018776077886,1.45436717663421,0
2012-01-22,CEDAR FALLS,0.138794085565386,1.89667288813477,0
2012-01-22,CEDAR RAPIDS,0.157093094589931,1.86607031938959,25
2012-01-22,DAVENPORT,0.119159306700981,1.60699352712952,3
2012-01-22,DECORAH,0.112368787150626,1.24215505248514,3
2012-01-22,DES MOINES,0.166240526791233,2.50051951694956,18
2012-01-22,DUBUQUE,0.152180309188932,1.96465229000493,3
2012-01-22,INDIANOLA,9.18083661990043e-002,1.1809762720631,7
2012-01-22,IOWA CITY,0.158944354621396,2.23368000538938,4
2012-01-22,MOUNT PLEASANT,0.129775880469584,1.57607731530891,2
2012-01-22,MOUNT VERNON,0.757244761480161,10.4816005349978,0
2012-01-22,ORANGE CITY,1.99661181026137e-002,0.237565343659245,5
2012-01-22,OSKALOOSA,0.104452054794521,1.39607478245886,7
2012-01-22,SIOUX CENTER,7.72349550998526e-002,0.965904034311754,0
2012-01-22,SIOUX CITY,9.61633522898782e-002,1.26679187645645,2
2012-01-22,WAVERLY,0.174098450228492,1.86631233856547,0
2012-01-29,CEDAR FALLS,0.150733244455218,2.02211804629742,6
2012-01-29,CEDAR RAPIDS,0.164603351098501,2.10314573827691,19
2012-01-29,DAVENPORT,0.14443445243805,1.88533446413601,2
2012-01-29,DECORAH,0.194349943088403,2.37450739850765,6
2012-01-29,DES MOINES,0.171357628488566,2.5789044834308,8
2012-01-29,DUBUQUE,0.135950866511335,1.78026582084729,6
2012-01-29,FAYETTE,4.42655935613682e-002,0.586398390342052,1
2012-01-29,INDIANOLA,0.163089157561259,1.97655912588091,5
2012-01-29,IOWA CITY,0.178817030450013,2.36019954190245,9
2012-01-29,MOUNT VERNON,0.734908604547481,9.84874052608114,0
2012-01-29,ORANGE CITY,1.83930300096805e-002,0.179322362052275,1
2012-01-29,OSKALOOSA,0.139827259412424,1.77197467045748,8
2012-01-29,PELLA,0.106289201968542,1.38107111840201,0
2012-01-29,SIOUX CENTER,8.06694813027744e-002,0.791580217129071,2
2012-01-29,SIOUX CITY,0.111374530614216,1.4764553676,2
2012-01-29,STORM LAKE,0.156993583868011,1.98518240146654,7
2012-01-29,WAVERLY,0.29419084045301,4.33871249751639,0
2012-02-05,CEDAR FALLS,0.147876621015634,2.1329778208702,32
2012-02-05,CEDAR RAPIDS,0.150834132126836,2.06040274529351,17
2012-02-05,DAVENPORT,0.163587666452204,2.25360531087325,0
2012-02-05,DECORAH,0.218335019602884,2.80891488554445,4
