eventdate,ActionGeo_FullName,tone,ActionGeo_Lat,ActionGeo_Long,geo,city,eventweek
2012-01-07,"Kalona, Iowa, United States",2.23880597014925,41.4831,-91.706,"41.4831,-91.706",RIVERSIDE,2012-01-01
2012-01-08,"Hudson, Iowa, United States",2.0997375328084,42.4067,-92.4555,"42.4067,-92.4555",HUDSON,2012-01-08
2012-01-08,"Cedar Falls, Iowa, United States",7.968127490039839,42.5278,-92.4455,"42.5278,-92.4455",CEDAR FALLS,2012-01-08
2012-01-08,"Fellowship Bible Church, Iowa, United States",4.169854628921195,41.2958,-92.656,"41.2958,-92.656",OSKALOOSA,2012-01-08
2012-01-08,"Cedar Rapids, Iowa, United States",3.36846565330226,42.0083,-91.6441,"42.0083,-91.6441",CEDAR RAPIDS,2012-01-08
2012-01-09,"Northwood, Iowa, United States",3.37078651685393,43.4441,-93.221,"43.4441,-93.221",NORTHWOOD,2012-01-08
2012-01-09,"Greenville, Iowa, United States",5.6791368633202195,43.0166,-95.1461,"43.0166,-95.1461",SIOUX RAPIDS,2012-01-08
2012-01-10,"Hawkeye, Iowa, United States",7.441860465116281,42.9386,-91.9502,"42.9386,-91.9502",WEST UNION,2012-01-08
2012-01-10,"Nashua, Iowa, United States",1.8700327255726965,42.9528,-92.5363,"42.9528,-92.5363",NASHUA,2012-01-08
2012-01-10,"Tama, Iowa, United States",1.8666666666666665,41.9667,-92.5769,"41.9667,-92.5769",TOLEDO,2012-01-08
2012-01-11,"Mahaska County, Iowa, United States",0.5036630036630033,41.3333,-92.6502,"41.3333,-92.6502",OSKALOOSA,2012-01-08
2012-01-11,"Wapello, Iowa, United States",5.1546391752577305,41.1814,-91.1854,"41.1814,-91.1854",WAPELLO,2012-01-08
2012-01-11,"Lee County, Iowa, United States",0.6443298969072162,40.65,-91.4835,"40.65,-91.4835",DONNELLSON,2012-01-08
2012-01-11,"Hancher Auditorium, Iowa, United States",4.80228815255687,41.6692,-91.5379,"41.6692,-91.5379",IOWA CITY,2012-01-08
2012-01-11,"Clarinda, Iowa, United States",4.729729729729731,40.7419,-95.0383,"40.7419,-95.0383",CLARINDA,2012-01-08
2012-01-11,"Cedar Rapids, Iowa, United States",0.29808015896352513,42.0083,-91.6441,"42.0083,-91.6441",CEDAR RAPIDS,2012-01-08
2012-01-12,"Osceola, Iowa, United States",5.07462686567164,41.0339,-93.7655,"41.0339,-93.7655",OSCEOLA,2012-01-08
2012-01-12,"Clayton County, Iowa, United States",1.33333333333333,42.8333,-91.3668,"42.8333,-91.3668",ELKADER,2012-01-08
2012-01-12,"Muscatine, Iowa, United States",1.6470026485102491,41.4245,-91.0432,"41.4245,-91.0432",MUSCATINE,2012-01-08
2012-01-12,"Washington County, Iowa, United States",1.2681159420289867,41.3334,-91.7168,"41.3334,-91.7168",WASHINGTON,2012-01-08
2012-01-13,"Gowrie, Iowa, United States",4.41176470588235,42.2805,-94.2908,"42.2805,-94.2908",GOWRIE,2012-01-08
2012-01-13,"Yale, Iowa, United States",0.6229810798338717,41.7767,-94.35799999999999,"41.7767,-94.35799999999999",PANORA,2012-01-08
